ANOENC;NUMERO;Seguro_salud;TAMAMU;NMIEMB;NMIEM2;NUMOCUP;TIPHOGAR3;EDADSP;SEXOSP;ESTUDREDSP;OCUSP;INTERINPSP;REGTEN;SUPERF;INTERIN
2018;747;1;1;01;00;00; 2;56; 1; 4; 2;  ;3;079;01
2018;748;0;5;04;00;01;10;55; 1; 3; 1;02;3;110;04
2018;749;0;4;03;00;03;10;57; 1; 1; 1;04;2;099;07
2018;750;0;4;01;00;00; 1;73; 1; 1; 2;02;1;095;02
2018;751;0;1;04;02;02; 7;43; 1; 4; 1;04;1;094;06
2018;752;0;4;01;00;00; 1;74; 1; 1; 2;02;5;100;02
2018;753;0;4;02;00;02; 5;50; 6; 4; 1;04;1;067;07
2018;754;0;1;03;00;00; 6;57; 1; 2; 2;02;1;055;02
2018;755;0;1;04;02;00; 7;42; 1; 1; 2;  ;6;060;01
2018;756;0;5;02;00;00; 4;84; 1; 2; 2;03;1;080;03
2018;757;0;4;04;00;03;10;53; 1; 1; 1;03;2;088;05
2018;758;0;2;01;00;01; 2;48; 1; 4; 1;07;3;085;07
2018;759;0;3;03;01;01; 6;34; 1; 3; 1;03;2;180;03
2018;760;1;1;02;01;01; 9;40; 6; 4; 1;04;1;075;04
2018;761;0;1;05;03;02; 8;34; 1; 4; 1;05;1;110;07
2018;762;0;1;02;00;02; 5;31; 1; 3; 1;03;2;070;04
2018;763;0;2;02;00;01; 5;29; 1; 3; 1;02;3;066;03
2018;764;0;5;02;00;02; 5;29; 6; 2; 1;03;2;210;05
2018;765;0;5;03;01;01; 6;35; 1; 1; 1;02;2;130;03
2018;766;1;3;05;00;04;10;52; 1; 4; 1;-9;1;130;07
2018;767;0;5;04;00;02;10;49; 1; 3; 1;03;1;090;05
2018;768;0;2;01;00;01; 2;41; 1; 4; 1;03;2;055;03
2018;769;0;1;02;00;02;10;38; 6; 3; 1;02;3;080;03
2018;770;0;1;02;00;02; 5;53; 6; 3; 1;03;1;087;05
2018;771;0;2;01;00;00; 1;85; 6; 1; 2;02;1;070;02
2018;772;0;2;02;00;00; 4;70; 1; 2; 2;03;1;088;05
2018;773;0;4;04;02;02; 7;46; 1; 3; 1;06;2;090;07
2018;774;1;2;02;00;02; 5;51; 1; 4; 1;07;2;055;08
2018;775;0;5;02;00;01;10;51; 1; 3; 1;03;1;150;04
2018;776;0;4;01;00;01; 2;40; 1; 4; 1;04;1;105;04
2018;777;0;1;02;00;00; 4;77; 1; 4; 2;03;1;090;05
2018;778;0;5;03;00;03;10;61; 1; 2; 1;01;1;090;03
2018;779;0;5;04;00;02;10;76; 1; 1; 2;03;1;080;05
2018;780;1;3;03;01;02; 6;34; 6; 4; 1;05;2;100;07
2018;781;0;1;04;02;02; 7;39; 1; 4; 1;05;2;130;06
2018;782;0;5;04;00;02; 7;46; 1; 4; 1;04;1;180;06
2018;783;0;1;03;00;00; 9;49; 6; 3; 2;03;2;070;03
2018;784;0;5;03;00;01;10;67; 1; 3; 2;04;1;130;06
2018;785;0;4;01;00;01; 2;53; 1; 2; 1;03;2;055;03
2018;786;0;5;01;00;00; 2;39; 1; 3; 2;03;1;120;03
2018;787;0;2;02;00;02; 5;23; 6; 2; 1;03;3;065;03
2018;788;0;4;02;00;00; 4;69; 1; 2; 2;06;2;098;06
2018;789;0;5;03;01;00; 6;50; 1; 2; 2;01;3; -9;01
2018;790;0;3;03;01;02; 6;32; 6; 4; 1;03;2;100;05
2018;791;0;5;02;00;00;10;69; 1; 1; 2;02;1;100;03
2018;792;0;4;01;00;01; 2;38; 1; 4; 1;05;2;081;05
